no,title,date,url
178,2018 여름방학 해외대학 단기 프로그램 참가자 모집(2차),2018-03-23,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2596&article.offset=30&articleLimit=10
177,2018 여름방학 해외대학 단기 프로그램 참가자 모집,2018-03-19,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2595&article.offset=30&articleLimit=10
176,브라질 파견 교환학생 설명회 개최 안내,2018-03-12,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2594&article.offset=30&articleLimit=10
175,2018학년도 2학기 교환학생/해외수학생 모집 안내,2018-01-08,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2593&article.offset=30&articleLimit=10
174,2018-2 교환학생 파견가능대학 리스트 공지 (1/4 Update),2017-11-30,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2592&article.offset=30&articleLimit=10
173,2018-2학기 파견교환학생 설명회 개최 안내(2차),2017-11-24,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2591&article.offset=40&articleLimit=10
172,2018-2 파견 교환학생 설명회 및 해외 대학 홍보박람회 개최,2017-10-13,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2590&article.offset=40&articleLimit=10
171,2018학년도 1학기 미래에셋 해외 교환장학생 선발 안내,2017-09-13,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2589&article.offset=40&articleLimit=10
170,2018-1 파견교환학생 3차 모집(선착순) 안내,2017-08-24,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2588&article.offset=40&articleLimit=10
169,2018년 1학기 교환학생 2차 지원 안내,2017-08-14,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2587&article.offset=40&articleLimit=10
168,2018-1 파견교환학생 면접일정 공지,2017-07-28,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2586&article.offset=40&articleLimit=10
167,[생활비 지원] 2018-1 Indiana대학 파견교환학생 선발 안내,2017-07-24,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2585&article.offset=40&articleLimit=10
166,2018-1학기 교환학생 모집 안내,2017-07-03,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2584&article.offset=40&articleLimit=10
165,6/25 토플시험 취소 관련 안내,2017-06-28,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2583&article.offset=40&articleLimit=10
164,2018-1 파견 교환학생 설명회 개최 (2차),2017-06-08,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2582&article.offset=40&articleLimit=10
